NO;LOCATIONNO;ORIGINALHHID
10253;100486;1486
10357;100621;1733
14648;102941;2897
100093;103610;1768
101371;104791;4026
102101;105886;4279
102248;105966;1
104765;108631;3023
104971;108707;2103
105502;109302;1676
106666;110227;4738
107675;111391;12
108338;111730;90
109012;112394;567
109637;113523;846
110607;114485;4560
112204;115960;3666
117785;119623;2861
119493;120786;2234
119938;121353;264
120242;121658;398
121780;122545;3876
122401;122665;4895
122437;122684;2801
122590;122702;1388
122613;122760;97
122673;122780;3289
122718;122795;2821
122844;122861;995
122895;122876;3543
122908;122944;621
122965;122957;373
123011;122971;153
123163;122977;4953
123189;122979;3001
123232;122986;2343
123299;123012;884
123360;123034;4471
123438;123043;819
123504;123064;4922
123538;123098;553
123581;123110;1736
123637;123121;5060
123649;123141;4225
123724;123211;153
123905;123225;2684
123925;123231;4658
123963;123234;3213
123976;123307;2727
124007;123384;2487
124116;123397;2870
124161;123455;2276
124248;123488;2915
124281;123504;1983
124401;123511;4344
124528;123513;1913
124568;123564;2789
124572;123577;56
124587;123587;1422
124639;123593;2675
124689;123606;4364
124694;123625;3597
124719;123652;4028
124761;123656;4023
124768;123684;423
124777;123725;4404
124791;123775;386
124837;123778;3644
124852;123798;3391
124862;123807;1656
124879;123828;4347
124898;123886;812
124963;123901;4037
124989;123905;4757
125023;123913;2739
125107;123930;339
125168;123987;2192
125180;123997;3702
125224;124048;1915
125234;124057;4978
125342;124098;2924
125352;124168;3157
125416;124192;3341
125464;124215;3020
125542;124249;991
125737;124250;4709
125809;124288;3559
125830;124305;1321
125847;124326;2683
125906;124365;3458
125971;124370;4308
125997;124372;3163
126017;124403;1173
126042;124409;1765
126119;124410;2360
126124;124438;2868
126142;124461;1217
126148;124481;3849
126367;124518;894
126407;124543;2233
126425;124587;2328
126426;124589;876
126580;124620;1957
126603;124638;1952
126630;124680;4449
126658;124691;3600
126711;124695;4412
126777;124711;1013
126782;124746;3840
126806;124778;1390
126857;124785;2540
126876;124827;1533
126884;124850;2617
126942;124877;5102
126982;124945;4658
127012;125007;267
127028;125015;1918
127044;125036;3230
127119;125071;2753
127281;125079;3840
127305;125089;660
127683;125102;3807
127709;125131;971
127790;125139;3197
127807;125203;3838
127842;125228;3758
127912;125327;4297
127915;125331;4521
127926;125375;2008
127929;125397;1644
127963;125400;3606
128034;125494;2749
128132;125496;487
128158;125537;1791
128192;125557;3979
128204;125630;737
128211;125650;2268
128336;125671;2709
128435;125678;2550
128504;125700;2834
128586;125719;1343
128713;125725;2827
128772;125792;1173
128950;125796;2407
128975;125825;1508
128980;125827;2454
129234;125892;4366
129462;125899;2014
129491;125900;2870
129617;125936;1693
129675;125939;655
129694;125940;4248
129817;125952;4990
129830;125972;3414
129944;126013;4622
130072;126021;2813
130196;126047;3023
130341;126087;3421
130458;126133;1191
130599;126153;512
130683;126160;1042
130779;126172;2084
130798;126181;3780
130842;126190;2482
130845;126191;295
130932;126234;2196
131118;126239;82
131136;126255;2344
131142;126277;4036
131224;126388;700
131381;126429;3030
131482;126433;5003
131578;126583;4742
131615;126594;3968
131649;126608;3866
131803;126622;1138
131899;126627;1608
131923;126646;497
132015;126659;2264
132079;126695;4673
132144;126743;4950
132160;126797;5124
132557;126811;1976
132602;126855;3974
132656;126868;1856
132714;126900;1712
132994;126909;4271
133060;126924;1709
133111;126954;4309
133469;127049;636
133574;127050;2361
133638;127057;3502
