NO;HHNO;ORIGINALPERSONID
260;1129956;6457
376;1659989;7890
2839;1404995;7610
3363;1630983;7914
24410;1005584;4505
24427;1006398;19
24431;1006583;7639
24908;10253;6062
25134;10357;4339
26826;1099499;445
27376;1120861;3516
27523;1126973;6717
27535;1127453;1070
27876;1140569;1669
27934;1142149;7148
28354;1158594;4871
28808;1174326;2072
29467;1200895;5072
29490;1202082;3633
30033;1222796;2809
30502;1239488;3679
30513;123976;4322
30602;1243534;5284
30612;1243730;5429
30806;1251070;2491
30931;1256194;6780
31063;126119;1082
32595;1321029;2337
33287;1348953;7907
35106;1417164;5818
35846;1446181;6327
36252;1462596;2300
36276;1463392;3721
36319;14648;1987
36433;1468893;1009
36469;1470185;5306
36914;1487992;496
37228;1499686;4394
37655;1516997;6788
40430;1620974;2254
259258;1000491;8113
259359;100093;4757
260177;1003816;2224
260459;1004953;7007
260471;1005023;2728
260504;1005118;8119
260538;1005248;3364
260661;1005698;7544
260668;1005698;5385
260780;1006228;2422
260786;1006239;1773
260808;1006289;7337
260825;1006377;2644
262687;1013463;7107
262749;101371;4629
264559;1020419;7759
264701;102101;5655
265103;102248;1257
265454;1023650;3521
265529;1023948;883
266022;1025781;7728
268645;1035974;4829
269758;1040267;1247
269938;1041004;6326
271698;104765;7401
272222;104971;603
273573;105502;2023
276560;106666;7678
279265;107675;5814
280992;108338;3539
282693;109012;8257
284375;109637;3930
284984;1098719;6147
285249;1099739;7197
285558;1100917;6412
285670;1101307;5968
286005;1102609;2172
286263;1103449;1515
286960;110607;4810
288286;1111057;1802
288879;1113300;4203
289317;1115021;7144
289504;1115837;3889
289788;1117119;6685
289807;1117179;7222
290047;1118101;6475
290472;1119546;4089
290515;1119734;5528
291047;1121648;7456
291111;1121921;8172
291134;112204;7199
291312;1122645;4627
291505;1123452;822
291510;1123452;4291
291950;1125079;6541
292037;1125425;2621
292046;1125448;1844
292359;1126720;1092
292458;1127181;4574
292760;1128329;7600
292991;1129295;2249
293065;1129598;1323
293067;1129598;1196
293089;1129659;1582
293364;1130798;8089
293752;1132298;7497
293788;1132405;1557
293907;1132767;6710
293967;1133038;1631
294129;1133560;8258
294426;1134670;2932
294600;1135306;5851
294989;1136814;6177
295143;1137403;1827
295341;1138147;931
295466;1138555;5931
296033;1140677;8089
296129;1141015;525
296158;1141194;3112
296444;1142149;5945
296490;1142384;2847
296503;1142408;5403
296648;1143006;7245
299515;1153884;7686
299645;1154411;1542
299831;1155069;865
299861;1155217;6937
300102;1156285;3319
300632;1158464;7053
300917;1159437;4704
301693;1162454;6733
301920;1163339;6783
302223;1164545;199
302593;1165808;6992
302644;1166039;1894
302829;1166808;2918
303221;1168353;1648
303526;1169468;3352
303794;1170580;2631
304701;1173998;6443
305288;1176376;3897
305374;1176650;4674
305702;1177777;5733
305705;117785;7074
305726;1177862;2223
305800;1178186;5839
305864;1178473;4574
306326;1180377;5002
306342;1180377;5465
307377;1184526;4409
307379;1184526;4236
307458;1184874;4813
307696;1185790;2372
310098;119493;4542
310102;119493;7212
310930;1198089;210
310957;1198235;6633
311209;1199122;3073
311287;119938;1145
311381;1199648;1087
311998;1202107;1278
312084;120242;2493
314157;1210518;4811
314403;1211368;535
315528;1215482;6952
316085;1217676;4687
316114;121780;5631
316249;1218316;6002
316891;1220935;8249
317015;1221418;995
317049;1221507;2185
317089;1221741;7248
317199;1222199;2184
317401;1223083;67
317429;1223194;7442
317442;1223194;5686
317601;1223869;2328
317648;122401;487
317737;122437;1607
317996;1225403;4459
318099;1225802;6341
318100;1225802;315
318109;122590;3413
318172;122613;4753
318307;122673;4322
318420;122718;1104
318777;122844;1480
318924;122895;403
318960;122908;2011
318972;1229085;5594
318983;1229156;3433
318991;1229172;6030
319098;122965;1811
319222;123011;4183
319674;1231609;138
319684;123163;3127
319738;123189;4321
319864;123232;3899
320033;123299;2738
320170;123360;110
320200;1233643;4593
320373;123438;5450
320385;1234401;2954
320504;1234794;4009
320530;1234935;3209
320561;123504;826
320652;123538;480
320666;123538;683
320744;123581;7504
320745;123581;1974
320810;1236113;6519
320879;123637;4110
320909;123649;7227
321113;123724;4438
321413;1238217;6512
321608;123905;6795
321612;123905;1900
321672;123925;3343
321751;1239588;3826
321760;123963;5046
321799;123976;28
321806;123976;1148
321881;124007;1291
321956;1240282;5615
322181;124116;2858
322302;124161;3496
322519;124248;5356
322608;124281;3859
322910;124401;4131
322966;1244185;1187
323172;1244983;2834
323248;124528;1204
323348;124568;3645
323367;124572;4328
323397;1245824;6967
323411;124587;2456
323517;1246195;2092
323557;124639;3564
323697;124689;1048
323711;124694;2446
323723;124694;3285
323786;124719;6877
323868;1247493;551
323899;124761;4836
323921;124768;3993
323948;124777;1229
323987;124791;1118
324113;124837;5892
324145;124852;4981
324172;124862;7693
324215;124879;3456
324256;124898;213
324440;124963;6439
324517;124989;6071
324608;125023;6661
324615;125023;613
324752;1250729;6108
324831;125107;7153
324982;125168;3920
325010;125180;7487
325102;125224;1317
325123;125224;3271
325131;125234;5776
325236;1252683;603
325279;1252850;5580
325289;1252989;4180
325404;125342;1809
325436;125352;7969
325615;125416;4608
325733;125464;7116
325734;125464;7151
325768;1254729;7174
325948;125542;6525
326321;1256708;4285
326446;1257189;1172
326490;125737;3614
326495;125737;412
326561;1257660;3018
326603;1257819;2923
326676;125809;5367
326720;125830;4187
326774;125847;2048
326813;1258609;5600
326922;125906;947
327078;1259669;1357
327087;125971;3880
327157;1259906;2715
327170;125997;8024
327216;126017;1175
327274;126042;838
327382;1260814;4627
327480;126119;2102
327492;126124;4181
327547;126142;814
327560;126148;8128
327695;1261964;268
327858;1262716;4126
328024;1263364;5915
328081;126367;7502
328176;126407;4401
328230;126425;7425
328234;126426;793
328643;126580;2479
328717;126603;1524
328779;126630;6550
328781;126630;2549
328866;126658;5079
328996;126711;2087
329163;126777;2413
329172;126782;7975
329233;126806;3525
329241;126806;1263
329350;126857;3396
329412;126876;4441
329437;126884;2609
329574;126942;2100
329578;126942;7255
329679;126982;3056
329759;127012;8211
329761;127012;2946
329799;127028;3045
329840;127044;6929
330032;127119;471
330444;127281;6197
330513;127305;102
331512;127683;4798
331585;127709;603
331586;127709;3145
331783;127790;5251
331826;127807;5800
331907;127842;3540
332080;127912;5792
332087;127915;6787
332113;127926;4731
332120;127929;3073
332233;127963;1663
332430;128034;1031
332680;128132;4022
332750;128158;2140
332839;128192;7735
332876;128204;8274
332908;128211;5565
333225;128336;349
333500;128435;161
333664;128504;1524
333861;128586;5594
333863;128586;3607
334215;128713;7087
334365;128772;2157
334810;128950;1295
334877;128975;814
334891;128980;7594
335634;129234;6122
336210;129462;4016
336278;129491;3639
336596;129617;6572
336598;129617;510
336733;129675;1021
336790;129694;2939
336793;129694;1953
337084;129817;1820
337118;129830;4859
337473;129944;3074
337773;130072;6634
338077;130196;2972
338415;130341;3711
338689;130458;7006
339021;130599;5433
339248;130683;4215
339491;130779;7517
339543;130798;226
339651;130842;2216
339659;130845;5828
339880;130932;5729
340362;131118;4745
340408;131136;2908
340436;131142;3759
340645;131224;8192
341045;131381;6122
341307;131482;459
341551;131578;2498
341656;131615;5
341661;131615;1931
341741;131649;2371
342189;131803;7672
342443;131899;1901
342507;131923;5345
342765;132015;388
342952;132079;7095
343107;132144;2745
343152;132160;851
344177;132557;7525
344288;132602;6796
344430;132656;7914
344599;132714;6604
345299;132994;314
345472;133060;7068
345608;133111;7783
346550;133469;826
346824;133574;6078
346985;133638;3918
347546;133842;5885
347610;133863;4378
348617;134257;6978
349038;134416;4140
349124;134450;7178
349165;134465;864
349333;134527;3525
349383;134542;6921
350168;134851;3303
350253;134886;2968
350331;1349089;4840
350650;135039;2062
350901;1351445;826
350936;135162;5873
351128;135235;8065
351362;135321;3394
351401;135331;8034
351591;135402;5361
351594;135403;1442
351739;1354505;1428
352237;1356500;2978
352436;1357245;2965
352444;1357291;5469
352792;1358669;2416
352831;135882;4477
352897;1359042;2248
352935;135920;215
353190;136012;7283
354509;136524;5723
354612;136565;463
